L668..L684 18:56:41..18:57:07 dWasm=34.7 sincePrevJump=0s
L8618..L8619 19:27:18..19:27:35 dWasm=18.3 sincePrevJump=1828s
L12755..L12782 19:44:43..19:45:04 dWasm=39.5 sincePrevJump=1049s
L15269..L15309 19:56:08..19:56:42 dWasm=24.8 sincePrevJump=698s
L19879..L20032 20:18:07..20:18:34 dWasm=33.2 sincePrevJump=1312s
L22424..L22560 20:29:19..20:29:35 dWasm=22.0 sincePrevJump=661s
L25074..L25084 20:41:41..20:42:21 dWasm=29.6 sincePrevJump=766s
L29061..L29126 21:00:46..21:01:29 dWasm=34.0 sincePrevJump=1148s
L31677..L31681 21:11:46..21:11:58 dWasm=17.1 sincePrevJump=629s
L33554..L33583 21:21:01..21:21:41 dWasm=33.7 sincePrevJump=583s
L40472..L40570 21:52:21..21:52:37 dWasm=18.8 sincePrevJump=1856s
L42389..L42554 22:01:22..22:02:16 dWasm=44.9 sincePrevJump=579s
L44554..L44569 22:10:57..22:11:33 dWasm=28.1 sincePrevJump=557s
L48547..L48657 22:30:13..22:30:35 dWasm=33.4 sincePrevJump=1142s
L54523..L54665 22:57:43..22:58:11 dWasm=33.1 sincePrevJump=1656s
L55733..L55923 23:03:11..23:04:16 dWasm=45.3 sincePrevJump=365s
L59521..L59550 23:19:54..23:20:35 dWasm=33.8 sincePrevJump=979s
L61270..L61425 23:27:50..23:28:14 dWasm=15.1 sincePrevJump=459s
L61425..L61433 23:28:14..23:28:39 dWasm=18.7 sincePrevJump=25s
L63075..L63181 23:36:18..23:36:39 dWasm=31.1 sincePrevJump=480s
L64684..L64815 23:44:14..23:45:04 dWasm=38.2 sincePrevJump=505s
L67100..L67133 23:54:50..23:55:23 dWasm=22.8 sincePrevJump=619s
