BASELINE
  exit=0 24 passed, 0 failed
D1: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pmv_append_only_update
D2: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pmv_append_only_delete
D3: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pmv_insert_existing_id
D4: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_insert_existing_id
D5: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_insert_null
D6: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_write_once
D7: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_value_domain
D8: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_status_sealed
D9: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_source_required
D10: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_set_at_required
D11: KILLED exit=1 22 passed, 2 failed :: 删掉整个触发器 trg_pm_ws_r1_operator_no_judged
D12: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_operator_no_verdict
D13: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_verdict_ref
D14: KILLED exit=1 23 passed, 1 failed :: 删掉整个触发器 trg_pm_ws_r1_audit_needs_value
D15: KILLED exit=1 21 passed, 3 failed :: 删掉整个触发器 trg_pm_ws_r1_audit_immutable
D16: KILLED exit=1 22 passed, 2 failed :: 删掉整个触发器 trg_pm_ws_r1_delete_guard
D17: KILLED exit=1 21 passed, 3 failed :: 删掉整个触发器 trg_pm_r4_question_immutable
F1: KILLED exit=1 23 passed, 1 failed :: 只拦"已存在且无值"的重插(REPLACE 一个已有判定的市场可绕过)
F2a: KILLED exit=1 23 passed, 1 failed :: INSERT 检查少一列: NEW.winning_side IS NOT NULL OR
F2b: KILLED exit=1 23 passed, 1 failed :: INSERT 检查少一列: NEW.winning_side_source IS NOT NULL OR
F2c: KILLED exit=1 23 passed, 1 failed :: INSERT 检查少一列: NEW.winning_side_set_at IS NOT NULL OR
F2d: KILLED exit=1 23 passed, 1 failed :: INSERT 检查少一列: OR NEW.winning_side_verdict_id IS NOT NULL
F3: KILLED exit=1 23 passed, 1 failed :: 允许同值重写
F4: KILLED exit=1 23 passed, 1 failed :: 值域放宽到 {0,1,2}
F5a: KILLED exit=1 22 passed, 2 failed :: 只查 NEW.status(betting→sealed 一并写值可绕过)
F5b: KILLED exit=1 22 passed, 2 failed :: 只查 OLD.status(sealed→resolved 一并写值可绕过)
F6: KILLED exit=1 23 passed, 1 failed :: source 为 NULL 不再拒
F7a: KILLED exit=1 23 passed, 1 failed :: set_at 为 NULL 不再拒
F7b: KILLED exit=1 23 passed, 1 failed :: set_at 空白不再拒
F8a: KILLED exit=1 22 passed, 2 failed :: "有判定题"判据少一列: NEW.resolution_rule_spec IS NOT NULL OR
F8b: KILLED exit=1 23 passed, 1 failed :: "有判定题"判据少一列: NEW.outcome_market_source IS NOT NULL OR
F8c: KILLED exit=1 23 passed, 1 failed :: "有判定题"判据少一列: NEW.outcome_condition_id IS NOT NULL OR
F8d: KILLED exit=1 23 passed, 1 failed :: "有判定题"判据少一列: OR NEW.outcome_oracle_relay_ids IS NOT NULL
F8e: KILLED exit=1 19 passed, 5 failed :: operator 禁写守卫挂在错误的 source 上
F9: KILLED exit=1 23 passed, 1 failed :: operator 可携带 verdict 引用
F10a: KILLED exit=1 23 passed, 1 failed :: verdict 不必属于同一市场
F10b: KILLED exit=1 23 passed, 1 failed :: verdict 的 outcome 不必等于写入值
F10c: KILLED exit=1 23 passed, 1 failed :: verdict 的 source_kind 不必与 source 一致(llm 判定可提升)
F10d: KILLED exit=1 23 passed, 1 failed :: human 来源免 verdict 引用
F10e: KILLED exit=1 23 passed, 1 failed :: uma 来源免 verdict 引用
F10f: KILLED exit=1 23 passed, 1 failed :: extractor 来源免 verdict 引用
F11a: KILLED exit=1 23 passed, 1 failed :: 无值时审计列检查少一列: NEW.winning_side_source IS NOT NULL OR
F11b: KILLED exit=1 23 passed, 1 failed :: 无值时审计列检查少一列: NEW.winning_side_set_at IS NOT NULL OR
F11c: KILLED exit=1 23 passed, 1 failed :: 无值时审计列检查少一列: OR NEW.winning_side_verdict_id IS NOT NULL
F12a: KILLED exit=1 23 passed, 1 failed :: 审计列不可改检查少一列: NEW.winning_side_source IS NOT OLD.winning_side_source OR
F12b: KILLED exit=1 23 passed, 1 failed :: 审计列不可改检查少一列: NEW.winning_side_set_at IS NOT OLD.winning_side_set_at OR
F12c: KILLED exit=1 23 passed, 1 failed :: 审计列不可改检查少一列: OR NEW.winning_side_verdict_id IS NOT OLD.winning_side_verdict_id
F13a: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: OLD.winning_side IS NOT NULL OR
F13b: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: OLD.shardleaf_txid IS NOT NULL OR
F13c: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: OLD.genesis_submitted_txid IS NOT NULL OR
F13d: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: EXISTS (SELECT 1 FROM proto_bets WHERE market_id = OLD.id) O
F13e: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: EXISTS (SELECT 1 FROM proto_claims WHERE market_id = OLD.id)
F13f: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: EXISTS (SELECT 1 FROM proto_settlement_intents WHERE subject
F13g: KILLED exit=1 23 passed, 1 failed :: DELETE 守卫少一条: EXISTS (SELECT 1 FROM proto_market_verdicts WHERE market_id 
