BASELINE
  budget: exit=0 19 passed, 0 failed
  freeze: exit=0 13 passed, 0 failed
  store: exit=0 17 passed, 0 failed
  core: exit=0 30 passed, 0 failed
  intake: exit=0 5 passed, 0 failed
  route: exit=0 ALL PASS
  service: exit=0 11 passed, 0 failed
  relay: exit=0 43 passed, 0 failed
B01: KILLED exit=1 18 passed, 1 failed :: 默认 SAFETY 改动
B02: KILLED exit=1 18 passed, 1 failed :: 默认 GRACE 改动
B03: KILLED exit=1 18 passed, 1 failed :: N2 动态下界漏掉 tick
B04: KILLED exit=1 18 passed, 1 failed :: N2 下界恰等也拒(边界)
B05: KILLED exit=1 18 passed, 1 failed :: 区间上端恰好也拒
B06: KILLED exit=1 18 passed, 1 failed :: isSynced 只拒显式 false(null / undefined 放行)
B07: KILLED exit=1 18 passed, 1 failed :: skew 恰 LAG_MAX 也拒(边界)
B08: KILLED exit=1 18 passed, 1 failed :: pmt 超前墙钟不检查
B09: KILLED exit=1 18 passed, 1 failed :: 单调: 相等也拒(边界)
B10: KILLED exit=1 18 passed, 1 failed :: 不更新单调基线
B11: KILLED exit=1 18 passed, 1 failed :: 缺 isSynced 放行
B12: KILLED exit=1 18 passed, 1 failed :: 冻结时钟不看 valid 标志(无效 pmt 也写 pmt)
B13: KILLED exit=1 18 passed, 1 failed :: frozen_reason 不校验 clock 标
B14: KILLED exit=1 18 passed, 1 failed :: 晚 seal 边界 <= (N6)
B15: KILLED exit=1 18 passed, 1 failed :: 晚 seal 漏掉 MARGIN
B16: KILLED exit=1 14 passed, 5 failed :: cutoff 漏掉 SAFETY
B17: KILLED exit=1 18 passed, 1 failed :: 受理门: pmt 恰等 outcome_end 仍受理(边界)
B18: KILLED exit=1 18 passed, 1 failed :: 受理门无豁免
B19: KILLED exit=1 18 passed, 1 failed :: 受理门: pmt.valid=false 不拒(fail-open)
B20: KILLED exit=1 18 passed, 1 failed :: 受理门: NaN / 字符串 outcome_end 放行(N3 isFinite)
B21: KILLED exit=1 18 passed, 1 failed :: promote 门 cutoff 边界(恰等仍放行)
B22: KILLED exit=1 18 passed, 1 failed :: 结果已知边界
B23: KILLED exit=1 17 passed, 2 failed :: verdict.pmt_at 恰等 outcome_end 不计(边界)
B24: KILLED exit=1 18 passed, 1 failed :: NULL / 非整数 pmt_at 计入(N1)
B25: KILLED exit=1 18 passed, 1 failed :: promote 门晚 seal 边界(N6)
B26: KILLED exit=1 18 passed, 1 failed :: effective_grace 不受 upper 限制(N6)
B27: KILLED exit=1 15 passed, 4 failed :: 宽限窗边界(恰满不放行)
B28: KILLED exit=1 15 passed, 4 failed :: 单源即算一致(R2)
B29: KILLED exit=1 18 passed, 1 failed :: 不一致不冻
B30: KILLED exit=1 18 passed, 1 failed :: 弃权 / 异议不冻
B31: KILLED exit=1 18 passed, 1 failed :: R5: 胜方多条也放行
B32: KILLED exit=1 18 passed, 1 failed :: R5: 不查奖池 > 0
B33: KILLED exit=1 18 passed, 1 failed :: promote 门不检查已冻结
B34: KILLED exit=1 18 passed, 1 failed :: promote 门不检查判定题
B35: KILLED exit=1 18 passed, 1 failed :: pmt 无效 ∧ 墙钟恰 cutoff: 不冻(边界)
B36: KILLED exit=1 18 passed, 1 failed :: llm 判定计入自动路径
B37: KILLED exit=1 18 passed, 1 failed :: 不优先引用 extractor
B38: KILLED exit=1 18 passed, 1 failed :: promote UPDATE 谓词漏冻结条件(D2)
B39: KILLED exit=1 18 passed, 1 failed :: promote 门不检查 sealed
B40: KILLED exit=1 18 passed, 1 failed :: promote 门不检查已判
F01: KILLED exit=1 12 passed, 1 failed :: 二次冻结覆盖首次(去掉 IS NULL 守卫; 触发器兜底也应报错)
F02: KILLED exit=1 11 passed, 2 failed :: 晚 seal 守卫不区分判定题(operator 市场也被冻)
F03: KILLED exit=1 12 passed, 1 failed :: 晚 seal 守卫不判 late 一律冻
F04: KILLED exit=1 11 passed, 2 failed :: 守卫不用 pmt(永远墙钟)
F05: KILLED exit=1 12 passed, 1 failed :: readPmt 抛错 ⇒ 守卫放弃而不是退墙钟
F06: KILLED exit=1 12 passed, 1 failed :: 守卫不看已冻
F07: KILLED exit=1 12 passed, 1 failed :: 市场不存在按未冻(fail-open)
F08: KILLED exit=1 12 passed, 1 failed :: promote 写值不校验决定
F09: KILLED exit=1 12 passed, 1 failed :: 守卫不看已判
T01: KILLED exit=1 16 passed, 1 failed :: listWork 选行不排除冻结(入口①)
T02: KILLED exit=1 16 passed, 1 failed :: dependenciesLanded 不重读冻结(入口②)
T03: KILLED exit=1 16 passed, 1 failed :: 冻结端口恒 false
K01: KILLED exit=1 29 passed, 1 failed :: 入口③非严格 fail-closed(只拦 true)
K02: KILLED exit=1 29 passed, 1 failed :: 冻结读失败按未冻(fail-open)
K03: KILLED exit=1 28 passed, 2 failed :: 入口③不读冻结端口
N01: KILLED exit=1 3 passed, 2 failed :: 无判定题也读 pmt
N02: KILLED exit=1 4 passed, 1 failed :: readPmt 抛错 fail-open
N03: KILLED exit=1 4 passed, 1 failed :: 市场不存在不返回 404
R01: KILLED exit=1 ? :: 路由不执行受理门拒绝
R02: KILLED exit=1 ? :: 路由给门传错市场 id
V01: KILLED exit=1 12 passed, 1 failed :: makeMarkLanded 对所有步跑晚 seal 守卫
V02: KILLED exit=1 12 passed, 1 failed :: makeMarkLanded 不跑晚 seal 守卫
V03: KILLED exit=1 10 passed, 1 failed :: 预算校验失败仍启动
V04: KILLED exit=1 10 passed, 1 failed :: 非法 env 回默认但不 LOUD
J01: KILLED exit=1 18 passed, 1 failed :: 判定题定义少一列(单一来源)
L01: KILLED exit=1 41 passed, 2 failed :: relay 不回 isSynced
L02: KILLED exit=1 42 passed, 1 failed :: relay 不校验 isSynced 类型
D_trg_pm_d_frozen_insert_null: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_frozen_insert_null
D_trg_pm_d_frozen_domain: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_frozen_domain
D_trg_pm_d_frozen_one_way: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_frozen_one_way
D_trg_pm_d_frozen_reason_required: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_frozen_reason_required
D_trg_pm_d_reason_needs_frozen: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_reason_needs_frozen
D_trg_pm_d_frozen_no_winning_side: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pm_d_frozen_no_winning_side
D_trg_pmv_d_pmt_at_domain: KILLED exit=1 12 passed, 1 failed :: 删掉整个触发器 trg_pmv_d_pmt_at_domain
D_trg_pm_ws_r1_verdict_ref: KILLED exit=1 11 passed, 2 failed :: 删掉整个触发器 trg_pm_ws_r1_verdict_ref
X01: KILLED exit=1 12 passed, 1 failed :: INSERT 检查少 frozen_at
X02: KILLED exit=1 12 passed, 1 failed :: INSERT 检查少 frozen_reason
X03: KILLED exit=1 12 passed, 1 failed :: 域: 0 也放行
X04: KILLED exit=1 12 passed, 1 failed :: 域: 小数 / 文本放行
X05: KILLED exit=1 12 passed, 1 failed :: 单向: 时刻可改
X06: KILLED exit=1 12 passed, 1 failed :: 单向: reason 可改
X07: KILLED exit=1 12 passed, 1 failed :: reason NULL 放行(N5a)
X08: KILLED exit=1 12 passed, 1 failed :: reason 空白放行(N5a)
X09: KILLED exit=1 12 passed, 1 failed :: reason 可脱离冻结单写
X10: SURVIVED 13 passed, 0 failed :: D2: 已冻市场可写 winning_side
X11: KILLED exit=1 12 passed, 1 failed :: D2: 同语句冻结 + 写值放行
X12: KILLED exit=1 12 passed, 1 failed :: pmt_at 域: 0 放行
X13: KILLED exit=1 12 passed, 1 failed :: pmt_at 域: 小数 / 文本放行
X14: KILLED exit=1 11 passed, 2 failed :: N1: NULL pmt_at 的 verdict 可被引用
RESTORED baseline:
  budget: exit=0 19 passed, 0 failed
  freeze: exit=0 13 passed, 0 failed
  store: exit=0 17 passed, 0 failed
  core: exit=0 30 passed, 0 failed
  intake: exit=0 5 passed, 0 failed
  route: exit=0 ALL PASS
  service: exit=0 11 passed, 0 failed
  relay: exit=0 43 passed, 0 failed
SUMMARY mutants=89 killed=88 survivors=1 errors=0
